#,REF ID,DOI,First author,Year,Full author list,Country_clean,Location_clean,Source,Continent_clean,Type of gear used & any other characteristics of who fishes in area,Types of gear used_clean,Number of closures studied in case (paper if paper is one case),Actors involved with closure (types of actors + organization names),Goverance type_overall_clean,*Actors_type_governance_clean,Traditional history_clean,"Start date (how long the temporary closures have been in place, approximate OK)",start_date_clean,TURF_clean,Ecosystem,Ecosystem_clean,Short type of closure (name),Short_type_of_closure_clean,Types of stakeholders involved in design & number of stakeholders (if available; approx. ok),Governance_type_design_clean,Actors_type_design_clean,Motivation(s) for creating closure (WHY? Broad - Include objective if available),Motivations_clean,Criteria for opening closures or renewing (specific criteria - note whether for opening or re-closing),Criteria_open_clean,"Decision-making process to design, open, or change (how did they decide?)",decision_making_clean,Size of closure,"Size of closure, standardized to Ha (1 km2 = 100 ha)",Size_of_closure_clean,Length of time closed (range),Length of time closed (range) - standardized to years,length_close_clean,Length of time open (range),Length of time open (range) - standardized to years,length_open_clean,% of fishing ground closed,percentage_fishing_ground_closed_clean,Number of species the closure apply to,Number of species the study focus on,number_of_species_clean,species_category_clean,Who is responsible for enforcement? How do they do it?,Enforcement_clean,Who is responsible for collecting information (e.g. monitoring the fishery) for management & how do they do it?,Information_collected_clean
ID,/,/,/,/,/,/,,,"Asia, North America, South America, Europe, Oceania, Africa",/,"nets, spears, hook and line/line fishing, gleaning, diving, traps, others",/,/,"Bottom-up, Top-down, Co-management, Unknown","Community leaders, locals, NGO, Government, Fishing industry, Others, Unknown","Yes, No, Unknown",/,Remove bins,"Yes, No, Unknown",/,"Coral reefs, Mangrove estuary, Rocky reefs, Open ocean, Other",/,"Rotational Closure, Periodic Closure, Dynamic/Triggered closure, Determinate (Expiring) Closure",/,"Bottom-up, Top-down, Co-management, Unknown","Community leaders, locals, NGO, Fishing industry, Government, Others, Unknown",/,"Ecosystem/conservation, Fisheries/fishing income, Social, Governance (e.g. avoid permanent closure), Others, Unknown",/,"Ecosystem/conservation, Fisheries/fishing income, Social, Governance (e.g. avoid permanent closure), Others, Unknown",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others",/,*numeric variable,"Small area(<1 hectare), Moderate area (1-10 hectares), Large area(10-100 hectares), Extensive Area (100+hectares up to 1000km2), Unknown",/,*numeric variable,"Weekly Closures (less than 1 month), Quarterly Closures (couple of monthes), Annual closures(1 year), Medium-term Closures(1-5 years), Long-Term Closures(5-10 years or more), Unknown",/,*numeric variable,"Daily Opening (open less than 1 week), Weekly Opening (open for couple of weeks, less than 1 month), Quarterly Opening (couple of monthes), Annual Opening(1 year), Medium-term Opening (1-5 years), Long-term Opening (Open for most of the time), Unknown",/,"Minimal Closure (<5%), Low Closure (5-20%), Moderate Closure (20-50%), High Closure (50-80%), Extreme Closure (>80%), Unknown",,/,* numeric variable or unknown,"Invertebrates, reef fish, demersal fish, pelagic fish, marine mammals/sea turtles/seabirds",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others"
11,"022-GOE-18-F, 045-GOE-16-D",/,/,/,/,Fiji,Natokalau,"022-GOE-18-F, 045-GOE-16-D",Oceania,/,Spears; Hook and line fishing; Nets,1,/,Co-management,Community leaders; Government; NGO,No,2006,2006,Yes,/,Coral reefs,/,Periodic closure,/,Co-management,Community leaders; NGO; Government,/,Fisheries management/Fishing income; Ecosystem/Conservation,/,Social,/,Collaboration community-government,2.17km2,217,Extensive area,1 year,1,Annual closures,2 days,0.005,Daily opening,/,Unknown,All,"More than 200 species from 045-GOE-16 (categorized into different vulnerability groups), no specific mentioning of fish families 022-GOE-18",,Reef fish,/,Community/village led,/,/
12,"020-COH-13-A, 050-COH-13-A, 065-COH-15-C",/,/,/,/,Soloman Islands,"Community cluster 1, PHC1","020-COH-13-A, 050-COH-13-A, 065-COH-15-C",Oceania,/,Spears; Hook and line fishing; Gleaning,1,/,Co-management,Locals; Government; NGO,Yes,2005,2005,Yes,/,Coral reefs,/,Periodic closure,/,Co-managment,Locals; NGO; Government,/,Ecosystem/Conservation,/,Social,/,Collaboration community-government,0.04km2,4,Moderate area,6 years,6,Long-term closures,11 days,0.03,Weekly opening,<5%,Minimal closure,All,"36 fin-fish families + 15 invertebrates + 5 other families from 050-COH-13, no specific mentioning of the focus species from 065-COH-15",,Reef fish,/,Collaboration community-government,/,/
13,"020-COH-13-B, 050-COH-13-B, 065-COH-15-D",/,/,/,/,Soloman Islands,"Community cluster 2, PHC2","020-COH-13-B, 050-COH-13-B, 065-COH-15-D",Oceania,"Gleaning, spearfishing, line fishing. paddle canoes and boats with motors.",Spears; Hook and line fishing; Gleaning,1,"Community members, state government, and NGOs (names not mentioned), 2 relevant quotes:, ""Communities, state government and non-government organisations (NGOs) are invested"", ""Each of these communities had engaged in NGO-supported initiatives to develop co-management arrangements that included resource-use regulations and education, compliance and monitoring strategies.""",Co-management,Locals; Government; NGO,Yes,2008,2008,Yes,Coral Reef (also mentions mangroves and pelagic fishing; all data comes from reef fishing).,Coral reefs,Periodically-harvested closure,Periodic closure,"Communities, State government, and NGOs (names not mentioned)",Co-managment,Locals; NGO; Government,NGO-driven ojective for sustaianble fisheries and conservation,Ecosystem/Conservation,"Annually each December, to have more food and money for Christmas. Some other short, small openings have taken place so fishers can buy school supplies. Note that the partner NGO collected underwater data; only social factors triggered openings.",Social,Responsibilities and authority to govern were implicitly shared between community and government,Collaboration community-government,0.63 km2,63,Large area,11 months,0.92,Annual closures,1 month,0.08,Weekly opening,<5%,Minimal closure,All,"37 fin-fish families + 15 invertebrates + 5 other families from 050-COH-13, no specific mentioning of the focus species from 065-COH-15",,Reef fish,/,Collaboration community-government,/,/
14,"020-COH-13-B, 050-COH-13-C, 065-COH-15-D",/,/,/,/,Soloman Islands,"Community cluster 2, PHC3","020-COH-13-B, 050-COH-13-C, 065-COH-15-D",Oceania,"Gleaning, spearfishing, line fishing. paddle canoes and boats with motors.",Spears; Hook and line fishing; Gleaning,1,"Community members, state government, and NGOs (names not mentioned), 2 relevant quotes:, ""Communities, state government and non-government organisations (NGOs) are invested"", ""Each of these communities had engaged in NGO-supported initiatives to develop co-management arrangements that included resource-use regulations and education, compliance and monitoring strategies.""",Co-management,Locals; Government; NGO,Yes,2008,2008,Yes,Coral Reef (also mentions mangroves and pelagic fishing; all data comes from reef fishing).,Coral reefs,Periodically-harvested closure,Periodic closure,"Communities, State government, and NGOs (names not mentioned)",Co-managment,Locals; NGO; Government,NGO-driven ojective for sustaianble fisheries and conservation,Ecosystem/Conservation,"Annually each December, to have more food and money for Christmas. Some other short, small openings have taken place so fishers can buy school supplies. Note that the partner NGO collected underwater data; only social factors triggered openings.",Social,Responsibilities and authority to govern were implicitly shared between community and government,Collaboration community-government,0.03 km2,3,Moderate area,11 months,0.92,Annual closures,1 month,0.08,Weekly opening,<5%,Minimal closure,All,"38 fin-fish families + 15 invertebrates + 5 other families from 050-COH-13, no specific mentioning of the focus species from 065-COH-15",,Reef fish,/,Collaboration community-government,/,/
15,"020-COH-13-B, 050-COH-13-D, 065-COH-15-D",/,/,/,/,Soloman Islands,"Community cluster 2, PHC4","020-COH-13-B, 050-COH-13-D, 065-COH-15-D",Oceania,"Gleaning, spearfishing, line fishing. paddle canoes and boats with motors.",Spears; Hook and line fishing; Gleaning,1,"Community members, state government, and NGOs (names not mentioned), 2 relevant quotes:, ""Communities, state government and non-government organisations (NGOs) are invested"", ""Each of these communities had engaged in NGO-supported initiatives to develop co-management arrangements that included resource-use regulations and education, compliance and monitoring strategies.""",Co-management,Locals; Government; NGO,Yes,2008,2008,Yes,Coral Reef (also mentions mangroves and pelagic fishing; all data comes from reef fishing).,Coral reefs,Periodically-harvested closure,Periodic closure,"Communities, State government, and NGOs (names not mentioned)",Co-managment,Locals; NGO; Government,NGO-driven ojective for sustaianble fisheries and conservation,Ecosystem/Conservation,"Annually each December, to have more food and money for Christmas. Some other short, small openings have taken place so fishers can buy school supplies. Note that the partner NGO collected underwater data; only social factors triggered openings.",Social,Responsibilities and authority to govern were implicitly shared between community and government,Collaboration community-government,0.37 km2,37,Large area,11 months,0.92,Annual closures,1 month,0.08,Weekly opening,<5%,Minimal closure,All,"39 fin-fish families + 15 invertebrates + 5 other families from 050-COH-13, no specific mentioning of the focus species from 065-COH-15",,Reef fish,/,Collaboration community-government,/,/
16,"021-THO-00, 099-RUT-98",/,/,/,/,Indonesia,"Ohorienan, Kei Besar (Kei Island)",021-THO-00,Asia,"Spearfishing, nets, poisonous roots/ goggles.  ",Spears; Nets; Diving,1,"Community leaders, elders, villagers, and government leaders. ",Co-management,Community leaders; Locals; Government,Yes,"""In December 1997, Ohoirenan opened sasi and harvested 7,343.5 kg of trochus shells.""",Unknown,Yes,Coastal Coral Reefs,Coral reefs,Sasi,Periodic closure,Community elders,Bottom-up,Community leaders,Sasi clsoure provides communal management of trochus stocks which provides an important source of income for individual families and village community works. ,Fisheries management/Fishing income,"No ecological mention; Determined by community elders by some immediate economic need- church or road construction, purchase/ repair of a village electric generator, or periodic financial hardship. Not for ecological consideration per se. ",Social,"""Ohoirenan divides its reef territory (petuanan laut) into four equal-size zones. One of these, located just south of the village itself, is called the kongsi, and all trochus harvested from here are used to finance village or church projects. The others are controlled by each of the three major ruling clans in Ohoirenan: Ubro, Ubra, and Rahakbau.""",Community/village led,"No clear mention however, Ohoirenan area is approximately 6 km in length where the sasi are located. ",20,Unknown,Closed for 3-5 year intervals; however some villages in Kei close their entire area for several weeks prior to the annual neap tide (Meti Kei) that occurs in September and October. ,5,Medium-term closures,~ 2-3 days intervals ranging between yearly and once every 3 to 5 years.,0.008,Daily opening,/,Unknown,1,Trochus Niloticus,1,Invertebrates,"""In the ensuing power shuffle, the question of who had authority to declare and enforce sasi or similar strictures became increasingly unclear and conflicted in many villages. """,Community/village led,"No clear mention; village leaders and elders appear to be in charge. In the Tuan sasi, the village elder is the one who oversees the sasi",Community/village led
17,002-CIN-06-A,jstor.org/stable/26267789,Cinner J,2006,"Josh Cinner, Michael J. Marnane, Timothy R. McClanahan, Glenn R. Almany",Indonesia,Kakarotan Island,002-CIN-06-A,Asia,"Spears, guns, line fishing, nets.",Spears; Hook and line fishing; Nets,1,Community leaders and elders,Bottom-up,Community leaders,Unknown,Origin is unclear.,Unknown,Yes,Coastal Coral Reefs,Coral reefs,Periodic Closure,Periodic closure,Community leaders and elders,Bottom-up,Community leaders,Closures helped with effective fishing for harvest fish for traditional ceremony. Attraction of tourist during annual harvests cited as secondary reason for closure. ,Social; Others,"Annual feasts largely determined the amount of time an area is closed. Environmental factors also keep an area closed for an entire year (Ex. El Nino bleaching event 1998-1999). Village leaders chooses to close and open closures to reflect ecological or social conditions also known as ""traditional ecological knowledge."" ""When village chiefs perceived that this distance was large, i.e., fish did not allow a close approach, they placed ataboo on the reef for an undetermined period.""",Social,Site selection and duration of taboo decided during a meeting of the community's traditional leaders. ,Community/village led,50 ha,50,Large area,"~6 months; ""The taboo generally lasts for six months""",0.5,Quarterly closures,Not mentioned. ,0.03,Unknown,11% of fishing ground closed. ,Low closure,All,14 reef fish families + 1 giant clam,15,Reef fish,Community traditional leaders enforces closures. Sanctions exist for violations of the taboo; a warning is given on the first offesne and a fine on the second. Mane'e are clearly visible from the community and fishers fished in groups which decreases chances for individuals to break community rules.,Community/village led,"In considering where, when, and how long to implement periodic closures, decision makers appeared to use their understanding of social-ecological systems to interpret threshold levels of social and ecological indicators, commonly referred to as traditional ecological knowledge.",Community/village led
18,007-CIN-07-A,10.1007/s00338-007-0213-2,Cinner J,2007,"Cinner J, R. Pollnac ",Papua New Guinea ,Ahus,007-CIN-07-A,Oceania,"""Spear and net fishing are prohibited in the tambu areas, however, line fishing is permitted""",Hook and line fishing,6,"Governed by polycentric institutions operating at the national, provincial, and local scales. ""Ownership of resources is defined by social groups typically at the individual, family, clan, and/or community level, and different groups may have overlapping rights with differing levels of autonomy. """,Co-management,Community leaders; Government; NGO,Yes,Not specified. But research field work began in May- June 2002,Unknown,Yes,Coastal Coral Reefs,Coral reefs,Periodically Harvested Closures,Periodic closure," ""Five main clans on Ahus, with 24 different sub clans recorded.""",Bottom-up,Community leaders,"Coral reefs are experiencing multiple anthropogenic disturbances that are reducing their capacity to provide critical ecosystem goods and services ""Villagers benefit from these traditional restrictions because the biomass of fish in the tambu areas is higher than outside, and large numbers of fish are easily caught.  These feasts also play important roles in maintaining trade relations with neighbouring villages, which are critical for Ahus to acquire terrestrial resources such as firewood, timber and vegetables."" ",Fisheries management/Fishing income; Social,"""Several times per year the community harvests fish from within the tambu areas to provide for feasts""",Social,"""Decisions to implement restrictions or harvest each tambu area at Ahus are the responsibility of the kinship group with control over the specific reef area. Key informants suggested that decisions about resource use could be made by an individual in one area and by a small council in another area""",Community/village led,33.2 ha,33,Large area,"For Ahus, closure was permeanent and harvested 1-3 times per year. ",1,Annual closures,"Unclear/ not mentioned (""Several times per year the community harvests fish from within the tambu areas to provide for feasts."")",0.02,Unknown, 5.8% Ha ,Low closure,2,2 species mentioned that driving the closures,2,Invertebrates,"Very decentralized controlled by kinship group (individuals, families, clans), highly exclusive to outsiders. Fines of up to US $29 were levied for fishing in another clan’s area. No active enforcement patrols",Community/village led,Decisions are made locally; they have no systematic way of collecting information about the fishery,Community/village led
19,016-JUP-17-B,10.1080/08941920.2017.1315654,Jupiter S,2017,"Stacy D Jupiter, Graham Epstein, Natalie C. Ban, Sangeeta Mangubhai, Margaret Fox, Michael Cox",Fiji,Nakali (Kubulau LMMA),016-JUP-17-B,Oceania,N/a,Unknown,1,"iTaukei Lands and Fisheries Commissions, FLMMA (NGO), fish wardens, the community and chiefs. District Council of Chiefs, District Resource Management Committee.  ",Co-management,Community leaders; Government; NGO,No,Established in 2005,2005,Yes,Coastal Coral Reefs,Coral reefs,Periodically Harvested Closures,Periodic closure,"Wildlife Conservation Society (NGO). District Council of Chiefs, District Resource Management Committee, and village chiefs.  (""Rules of the periodically harvested closure (PHC) is determined by a single village that is managed collectively by multiple villages within a district.)",Co-management,Community leaders; NGO; Government,"Fish for future, increase CPUE, protect species",Fisheries management/Fishing income; Ecosystem/Conservation,"opened for harvesting in the past to build a village church; presently harvested every quarter for village needs, as well as on ad hoc basis to cater for social events (e.g., funerals).",Social,District Council of Chiefs and district resource management committee make rules for LMMA that apply to 10 villages in district. Village chief makes rules for local PHC areas. ,Community/village led,1.3 km^2,130,Extensive area,~3 monts,0.25,Quarterly closures,N/a but closure was harvested every 3-4 times every 3 month interval.,0.02,Unknown,/,Unknown,All,Coral Reef fish not specifically stated,/,Reef fish,Involves fish wardens. The rules for the PHCs are determined by a single village managed collectively by multiple villages within a district; no clearn mention of enforcement. ,Community/village led,No clear mention,/
20,016-JUP-17-D,10.1080/08941920.2017.1315654,Jupiter S,2017,"Stacy D Jupiter, Graham Epstein, Natalie C. Ban, Sangeeta Mangubhai, Margaret Fox, Michael Cox",Fiji,Yakuta (Nakorotubu),016-JUP-17-D,Oceania,N/a,Unknown,1,"iTaukei Lands and Fisheries Commissions, FLMMA (academic),  fish wardens, the community and clan chiefs. District Council of Chiefs, District Resource Managment Committee. ",Co-management,Community leaders; Government; NGO,No,Established in 2010 ,2010,Unknown,Coastal Coral Reefs,Coral reefs,Periodically Harvested Closures,Periodic closure,"Wildlife Conservation Society (NGO). District Council of Chiefs, District Resource Management Committee. ",Co-management,Community leaders; NGO; Government,"Fish for future, increase CPUE, earn income",Fisheries management/Fishing income,"""not opened to date""",Social,District council of chiefs and district resource management committee makes rules for LMMA and PHC areas that apply to 27 villages in district. ,Collaboration community-government,0.2 km^2,20,Large area,"""not opened to date""",5,Unknown,"""not opened to date""",0.02,Unknown,/,Unknown,All,Coral Reef fish not specifically stated.,/,Reef fish,Governed by multiple villages and involves fish wardens. No clear mention of enforcement. ,Community/village led,No clear mention,/
21,016-JUP-17-F,10.1080/08941920.2017.1315654,Jupiter S,2017,"Stacy D Jupiter, Graham Epstein, Natalie C. Ban, Sangeeta Mangubhai, Margaret Fox, Michael Cox",Fiji,Cakau Bavu (Bua LMMA),016-JUP-17-F,Oceania,N/a,Unknown,1,"iTaukei Lands and Fisheries Commissions, villages, village chiefs. Wildlife Conservation Society (NGO). District Council of Chiefs, District Resource management committee. ",Co-management,Community leaders; Government; NGO,No,Established in 2010.,2010,Unknown,Coastal Coral Reefs,Coral reefs,Periodically Harvested Closures,Periodic closure,"Wildlife Conservation Society (NGO). District council of chiefs, district resource management resource management committee, and village chiefs. ",Co-management,Community leaders; NGO; Government,"Fish for future, increase catch per unit effort, protect species.",Fisheries management/Fishing income; Ecosystem/Conservation,"""not opened to date""",Social,District council of chiefs and District Resource management committee make rules for LMMA that apply to 7 villages in district. Village chiefs make rules for other local PHC areas in LMMA. Cakau Bavu PHC is managed collectively by all communities in district. ,Collaboration community-government,0.7 km^2,70,Large area,"""not opened to date""",5,Unknown,"""not opened to date""",0.02,Unknown,/,Unknown,All,Coral Reef fish not specifically stated.,/,Reef fish,/,Community/village led,No clear mention,/
22,011-FIL-21,10.1016/j.marpol.2020.104291,Filous A,2021,"A. Filous, R. Lennox, J. Pierre Beaury, H. Bagnis, M. Mchugh, A. Friedlander, E. Clua, S. Cooke, T. Fuller, A. Danylchuk.",French Polynesia ,"Anaa atoll, Tuamotu Archipelago",011-FIL-21,Oceania,Public Fish Traps,Traps,1,"Community member, Atoll's municipal council, fishers, community (one village, Tukuhora, that is inhabited by approximately 500 residents), Tavahiro Elementary School (Aire Marine Educative (AME). Aire Marine Educative (a marine area that is managed by a local primary school)",Bottom-up,Community leaders; Locals,Yes,March 1st 2019 (Anna reinitiated the tradition of rahui for the first time in centuries) .,2019,No,Coastal Coral Reefs,Coral reefs,Rahui,Rotational closure,"Atoll's municipal council, fishers, community (one village, Tukuhora, that is inhabited by approximately 500 residents), Tavahiro Elementary School (Aire Marine Educative (AME). ""Aire Marine Educative (a marine area that is managed by a local primary school)""",Bottom-up,Community leaders; Locals,Community’s efforts to conserve a culturally important but overexploited bonefish (Albula glossodonta) fishery. ,Ecosystem/Conservation,N/a,Ecosystem/Conservation,"Conversations with the residents of Anaa Atoll and fishers. (This process involved several stages, including meetings with the fishers of the atoll who held the concessions to private traps within the AME, and a community-wide event where the children presented to their parents, followed by questions and answers with the project scientists (Fig. 3). These meetings were collaborative and encouraged each community member to comment and contribute ideas. It was clear that new solutions were not needed; community members suggested a return to the traditional practice of rahui ). Decision made by a unanimous vote by community members present at a meeting in favor of temporarily deactivating the traps in the AME (Aire Marine Educative). (Approved by 87% of the population).",Community/village led,"Not stated, traps placed around coast",70,Unknown,"A temporary closed season during the months of March, April, and May, and the preservation of mega-spawners to protect a proportion of female spawning stock.",0.75,Quarterly closures,"9 months (excluding March, April, and May) (The fish were placed inside the tomb of the marae, which was covered, and a large white sacred stone was positioned vertically in the center of the marae to signify that the harvest of bonefish in this corridor was tapu (restricted) for the next three months. This center stone was removed on June 1st, 2019 to signify the end of the rahui period and the traps were reconstructed to reopen the fishery until March 1st of the following year.)",0.74,Quarterly opening,/,Unknown,1,"1, Bonefish, locally known as kiokio,(is a species that provides food to local inhabitants, income through commercial sale, and new economic opportunities in the form of recreational fly-fishing tourism. However, at the time of this study, local ecological knowledge suggested that this fishery had declined significantly from its historical abundance, and there was concern it was overexploited and in need of management)",1,Reef fish,Not stated. ,Community/village led,"Fisher surverys, community surveys, drone photography evaluating abundance.",Community/village led
23,003-WIL-06,/,Williams I,2006,"I.D Williams, W.J Walsh, A. Miyasaka, A.M Friedlander",United States,"Hawaii, Waikiki",003-WIL-06,North America,"Mostly Line fishing, gillnetting & spear fishing is banned",Hook and line fishing,1,"Marine Life Conservation District (MLCD), and Waikiki Fishery Managment Area (FMA), DAR; hawaii's division of aquactic rescources  ",Top-down,Government,Yes,23 years; around 2 decades,1986,No,Coastal Coral Reefs,Coral reefs,Rotational Closure,Rotational closure,DAR,Top-down,Government,"the FMA's objectives were to preserve, protect, conserve, propagate and manage marine life for the revitalization of public fishing grounds ",Ecosystem/Conservation,"In 1970s DAR implemented a rotational closure stradegy on coast, but decided to only monitor Waikiki-Diamond Head. Criteria based on biomass data from transects in managed area.",Fisheries management/Fishing income,"In the 1970s, resource managers of Hawaii’s Division of Aquatic Resources (DAR) considered implementing a rotational closure strategy for the entire coast of the island of Oahu, with different portions of the coastline closed in different years, but after negotiation with local stakeholders decided instead to introduce rotational management in a much more limited way",Government led,"FMA (Originally) extended 2.5 km of shoreline at the southeastern corner of the Island Oahu, Hawaii from the high water mark to 500 yards. A poriton of FMA converted to permanently closed now MLCD. ",125,Extensive area,"First 10 years, 2 years closed then converted to 1 year closed",2,Medium-term closures,"First 10 years, 2 years open the converted to 1 year open",1,Medium-term opening,/,Unknown,All,6 major fish families,6,Reef fish,"Orginially, Resource managers of Hawaii's division of Aquatic Resources (DAR) implemented Rotational managment. Currently, Shoreline Fishery Managment Area (FMA) is respnsible. No consequences for fishing stated.   ",Government led,Staff of Hawaii's DAR have monitored fish populations in back-reef and reef-flat areas using transects,Government led
24,044-FAC-18,10.1016/j.jenvman.2018.05.029,Fache E,2018,"E. Fache., A. Breckwoldt.",Fiji,"Tikina Vanuaso (Village Malawai and Lamiti), Gau Island",044-FAC-18,Oceania,"Handlining, netting, handheld nets, spearing (wooden/ spearguns). Small crafts like bamboo rafts bilibili used by women or small open fiberglass boats used by men.",Spears; Hook and line fishing; Nets,1,"""Communities, local leaders, researchers, NGOs, donors, governments.""",Bottom-up,Community leaders; Locals,Yes,"In 2003–2004, A. Breckwoldt documented that the impetus that led to the 2001 establishment of the Lamiti/Malawai tabu area (the first on Gau) came from women's perceptions of declining catches, smaller fish sizes, and deteriorating quality of their fishing grounds (with more algae and dead corals). ",2001,Yes,Coastal Coral Reefs,Coral reefs,"tabu area - this is a periodic closure: Initially, the Lamiti/Malawai tabu area was established for 5 years,14 as a fully-closed no-take area, with a fishing ban applying to all species living therein. Later on however, the closure has been extended for an unlimited period of time and is now managed as a conditionally-opened no-take area,15 with no pre-determined harvest frequency, duration or intensity (see Mills et al., 2011: 5–6). This means that the closure can be temporarily opened (i.e., become ‘tara’ as opposed to ‘tabu’), thereby providing access to marine resources for special sociocultural gatherings, on the basis of village (men) elders' decisions.",Periodic closure,"The decision criteria for the location of the tabu area that were mentioned during interviews and discussions with villagers during these two research periods included: easy access and in front of the village for surveillance; surrounding Dakui islet, which makes the closure's boundaries easy to spot; where water is deep so that “fish [and giant clams] can be kept”, while shallow areas “where one can walk to the reef when it's low tide” are left for women's subsistence fishing activities; where corals need to grow back; where elders said the area was good for fishing in the past (i.e., where a restoration of this past abundance of fishery resources was hoped for); and where an agreement could be reached with other villages sharing the same iqoliqoli.13",Bottom-up,Community leaders; Locals,"It works as an overall umbrella gathering several LMMA country networks, including the Fiji Locally Managed Marine Area (FLMMA) network which aims to “promote and encourage the preservation, protection and sustainable use of marine resources in Fiji by the owners of marine resources”",Ecosystem/Conservation,"this means that the closure can be temporarily opened (i.e., become ‘tara’ as opposed to ‘tabu’), thereby providing access to marine resources for special sociocultural gatherings, on the basis of village (men) elders' decisions. ",Social,"""Women's involvement in the decisions about the location and size of the closure was very limited then. This echoed observations that only a few women regularly went to village meetings and they sat in the back of the meeting room to listen, leaving main discussions and final decisions to the men. In 2016, more than 10 years later, E. Fache could make the same observations about the limited involvement of women in village- and tikina-level meetings, and in discussions and decisions regarding the management of the tabu area and the LMMA in which it is located. Decision is primarily made on the basis of village (men) elders' decisions based on providing access to marine resources for special sociocultural gatherings.""",Community/village led,/,138,Unknown,"""Initially establsihed for 5 years but is now managed as a conditionally opened no take area with no predetermined harvest frequency, duration or intensity."" ",1,Unknown,"""Openings usually last for one day up to one week."" ",0.02,Daily opening,/,Unknown,All,"Not specified: Finfish, Thumbprint, unclear invertebrates. ",/,Reef fish,"If a poacher is seen by a community member, he or she can inform the village chief who then decides to either sort out the situation internally or create a police report. Police officers on Gau, Gau Fisheries Station and Fisheries Assitant officier and two project staff members informed by community members of poach incidents.   ",Community/village led,/,/
25,051-WEN-22,10.1007/s13280-022-01763-7,Wencelius J,2022,"J. Wencelius, M. Lauer, T. Bambridge.",French Polynesia ,Moorea,051-WEN-22,Oceania," Reef fishing encompasses a broad diversity of techniques and gears (e.g., line, net, and spearfishing as well as invertebrate harvesting).",Spears; Hook and line fishing; Nets,1,"French Overseas Territory (Collectivite´ d’Outre-Mer), Association Rahui, founded by residents from the district of Haapiti in 2016. Numerous state agencies and local stakeholders, such as the Department of Urban Planning (SAU), the Environmental Agency (DIREN), and the Fisheries Department (DRM), alongside local stakeholders and municipal government.",Co-management,Community leaders; Locals; Government,Yes,Implemented in 2004,2004,Unknown,Coastal Coral Reef  / Lagoon,Coral reefs,Rotational- Plan de Gestion de l'Espace Maritime (PGEM),Rotational closure,"The design process was initiated as early as 1994, and it took government officials ten years to finalize and enact Moorea’s PGEM in 2004. Among the numerous institutions and stakeholders involved, guidance provided by both the FP Fisheries Department and the CRIOBE Research Station played a pivotal role in the design and completion of Moorea’s PGEM.",Co-management,Community leaders; Locals; Government,"The initial goals of the PGEM were manifold and included spatially regulating lagoon-based activities (whether recreational or subsistence-based), protecting coral-reef habitats and spawning areas as well as alleviating fishing pressure on the marine resources. The PGEM was conceived of as a way to meet both France’s commitments to increase the coverage of its marine-protected areas (MPAs) in mainland France and overseas as well as FP’s policy to promote the country’s tourism industry by advertising the beauty of its marine environments (Poirine 2010).",Ecosystem/Conservation; Others,N/a,Ecosystem/Conservation,"The PGEM is governed by a steering committee—including representatives from the civil society, municipal authorities, and central government. Members can include the Mayor of Moorea, district mayors, and representatives of reef fishers, tourism industry, cultural/ environmental organization and scientific institutions. During the revision process of PGEM, a local group of stake holders named MAMA inolving PGEM staff, scientists, environmental activists, and representatives from the FP agencies started meeting on a regular basis to sketch out guidelines to prepare a full-blown revision.",Collaboration community-government,/,70,Unknown,"Closed to night spearfishing, shift every 2 years between sites",2,Medium-term closures,"Daytime, shift every 2 years between sites",2,Medium-term opening,/,Unknown,All,A wide array of reef fish species are targeted. Reef fish—often referred to as i’a tahiti. ,/,Reef fish,/,Community/village led,/,/
