Continent,Goverance type overall,Governance type  design,Design types of actors,Length of time open range,Length of time open ,Biomass summary,Abundance,Compliance ,Success,SuccessWhy 
Oceania,N/A,N/A,N/A,1,1 day,Increase,Increase,High,Yes (ish),Biological (abundance + biomass) before harvest - Biological failure after harvest
Oceania,N/A,N/A,N/A,2,2-5 days,Increase,Increase,High,Yes (ish),Biological (abundance + biomass) before harvest - Biological failure after harvest
Oceania,N/A,N/A,N/A,3,2-5 days,Increase,Increase,Low,Yes (ish),Biological (abundance + biomass) before harvest - Biological failure after harvest
Oceania,Co-management,Co-management,"Villagers, NGOs, government",11,1-2 weeks,N/A,N/A,N/A,N/A,N/A
Oceania,Co-management,Co-management,"Villagers, NGOs, government",1 month,3-5 weeks,N/A,N/A,N/A,N/A,N/A
Oceania,Co-management,Co-management,"Villagers, NGOs, government",1 month,3-5 weeks,N/A,N/A,N/A,N/A,N/A
Oceania,Co-management,Co-management,"Villagers, NGOs, government",1 month,3-5 weeks,N/A,N/A,N/A,N/A,N/A
Oceania,N/A,N/A,N/A,1-3,2-5 days,Increase (even after harvest),Increase,N/A,N/A,N/A
Asia,Co-management,Co-management,"Community leaders, NGO",5,2-5 days,Increase,Increase,N/A,N/A,N/A
Asia,Co-management,Co-management,"Community leaders, NGO",1,1 day,Increase,Increase,N/A,N/A,N/A
Oceania,Co-management,Co-management,"Community leaders, NGO",1,1 day,N/A,N/A,N/A,N/A,N/A
Oceania,Co-management,Co-management,"Community leaders, NGO",1 month,3-5 weeks,N/A,N/A,High,N/A,N/A
Oceania,N/A,Bottom-up,Community leaders,,,N/A,N/A,N/A,N/A,N/A
Oceania,Co-management,Bottom-up,Villagers,4,2-5 days,Increase (even after harvest),N/A,High,Yes,Biological (short term)
Oceania,Co-management,Bottom-up,Villagers,1,1 day,Increase (even after harvest),N/A,High,Yes,Biological (short term)
Oceania,Co-management,Bottom-up,Villagers,3,2-5 days,Increase (decrease after harvest),N/A,Low,Yes,Biological (short term)
Oceania,Co-management,Bottom-up,Villagers,2,2-5 days,Increase (even after harvest),N/A,High,Yes,Biological (short term)
Oceania,Co-management,Bottom-up,Villagers,7,1-2 weeks,Increase (even after harvest),N/A,Medium,Yes,Biological (short term)
North America,Co-management,Bottom-up,Villagers,0,0 (never open),Increase,Increase,Mixed,Yes,"Social (renewed, expanded) and biological (benefits)"
Africa,Co-management,Bottom-up,Local committee,rest of time,rest of time,Increase (return to baseline 7-10 days after harvest),N/A,Mixed,Yes,Social (high complaince) and biological (benefits)
Africa,Co-management,Co-management,"Villagers, NGO",150-210,2-9 months,Increase,N/A,N/A,Yes (ish),Biological (abundance + biomass) before harvest - Biological failure after harvest
Africa,Co-management,Co-management,"Villagers, NGO",317,2-9 months,Increase,N/A,N/A,Yes (ish),Biological (abundance + biomass) before harvest - Biological failure after harvest
Africa,Co-management,Co-management,"Villagers, NGO",317,2-9 months,Increase,N/A,N/A,Yes (ish),Biological (abundance + biomass) before harvest - Biological failure after harvest
Oceania,Co-management,Co-management,"Community leaders, villagers, government",N/A,N/A,N/A,N/A,N/A,No,Biological failure (time too short)
Oceania,Bottom-up,Bottom-up,"Community leaders, villagers",7,1-2 weeks,N/A,N/A,Medium,N/A,N/A
North America,Co-management,Top-down,Government,rest of time,rest of time,N/A,N/A,N/A,No,Social failure (low compliance)
